,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1088,1.0,2020-01-01 00:53:35,2020-01-01 01:08:20,1.0,5.0,1.0,N,87,137,1.0,16.5,3.0,0.5,4.05,0.0,0.3,24.35,2.5
1089,1.0,2020-01-01 00:07:34,2020-01-01 00:18:56,1.0,4.3,1.0,N,232,229,2.0,14.5,3.0,0.5,0.0,0.0,0.3,18.3,2.5
1090,1.0,2020-01-01 00:24:41,2020-01-01 00:29:27,1.0,0.5,1.0,N,162,170,1.0,5.0,3.0,0.5,1.75,0.0,0.3,10.55,2.5
1091,1.0,2020-01-01 00:51:53,2020-01-01 01:16:33,1.0,2.4,1.0,N,234,48,1.0,16.0,3.0,0.5,4.95,0.0,0.3,24.75,2.5
1092,2.0,2020-01-01 00:08:39,2020-01-01 00:21:35,1.0,7.07,1.0,N,263,129,1.0,21.0,0.5,0.5,6.18,6.12,0.3,37.1,2.5
1093,2.0,2020-01-01 00:09:14,2020-01-01 00:22:38,1.0,3.08,1.0,N,263,137,1.0,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5
1094,2.0,2020-01-01 00:30:55,2020-01-01 00:40:12,1.0,1.21,1.0,N,79,249,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
1095,2.0,2020-01-01 00:42:39,2020-01-01 00:50:20,1.0,1.22,1.0,N,249,79,1.0,6.5,0.5,0.5,1.0,0.0,0.3,11.3,2.5
1096,2.0,2020-01-01 00:52:07,2020-01-01 01:15:06,1.0,4.25,1.0,N,79,263,1.0,17.5,0.5,0.5,4.26,0.0,0.3,25.56,2.5
1097,2.0,2020-01-01 00:27:52,2020-01-01 00:49:48,1.0,5.79,1.0,N,107,41,1.0,19.5,0.5,0.5,4.66,0.0,0.3,27.96,2.5
1098,2.0,2020-01-01 00:54:51,2020-01-01 01:10:57,1.0,3.26,1.0,N,24,163,1.0,14.0,0.5,0.5,4.45,0.0,0.3,22.25,2.5
1099,1.0,2020-01-01 00:25:45,2020-01-01 00:34:16,1.0,1.7,1.0,N,43,236,1.0,8.5,3.0,0.5,1.23,0.0,0.3,13.53,2.5
